trip_id,waktu,latitude,longitude,kecepatan_kmh,jarak_km
1,2025-03-03 04:55:00,-6.120401,106.184492,53.0,0.44205
1,2025-03-03 04:55:30,-6.119611,106.181548,51.4,0.42814
1,2025-03-03 04:56:00,-6.116769,106.182376,40.1,0.33442
1,2025-03-03 04:56:30,-6.113691,106.183954,50.0,0.41635
1,2025-03-03 04:57:00,-6.111233,106.181977,42.0,0.35001
1,2025-03-03 04:57:30,-6.10854,106.179472,49.0,0.40802
1,2025-03-03 04:58:00,-6.105831,106.176889,49.8,0.41511
1,2025-03-03 04:58:30,-6.10291,106.174104,53.7,0.44754
1,2025-03-03 04:59:00,-6.100201,106.171446,50.6,0.42138
1,2025-03-03 04:59:30,-6.098373,106.169039,40.2,0.33477
1,2025-03-03 05:00:00,-6.096714,106.166806,37.0,0.30853
1,2025-03-03 05:00:30,-6.095462,106.164355,36.6,0.30473
1,2025-03-03 05:01:00,-6.094054,106.161552,41.7,0.34734
1,2025-03-03 05:01:30,-6.093012,106.158513,42.6,0.35536
1,2025-03-03 05:02:00,-6.091819,106.155037,48.8,0.4066
1,2025-03-03 05:02:30,-6.090868,106.152263,38.9,0.32446
1,2025-03-03 05:03:00,-6.08976,106.149034,45.3,0.37767
1,2025-03-03 05:03:30,-6.088895,106.146512,35.4,0.2949
1,2025-03-03 05:04:00,-6.087809,106.143346,44.4,0.37041
1,2025-03-03 05:04:30,-6.086671,106.140026,46.6,0.38822
1,2025-03-03 05:05:00,-6.085348,106.137283,40.5,0.33773
1,2025-03-03 05:05:30,-6.082823,106.134648,48.9,0.40784
1,2025-03-03 05:06:00,-6.080418,106.133372,36.3,0.30234
1,2025-03-03 05:06:30,-6.077417,106.13178,45.3,0.37732
1,2025-03-03 05:07:00,-6.074382,106.13017,45.8,0.38153
1,2025-03-03 05:07:30,-6.071338,106.128556,45.9,0.38258
1,2025-03-03 05:08:00,-6.068685,106.127148,40.0,0.33364
1,2025-03-03 05:08:30,-6.065659,106.125543,45.6,0.38032
1,2025-03-03 05:09:00,-6.062648,106.123946,45.4,0.37858
1,2025-03-03 05:09:30,-6.059393,106.122219,49.1,0.40922
1,2025-03-03 05:10:00,-6.056956,106.120837,37.4,0.31127
1,2025-03-03 05:10:30,-6.054662,106.11942,35.9,0.29935
1,2025-03-03 05:11:00,-6.052352,106.11786,37.2,0.30978
1,2025-03-03 05:11:30,-6.049578,106.115439,49.1,0.40916
1,2025-03-03 05:12:00,-6.047166,106.112855,47.0,0.39207
1,2025-03-03 05:12:30,-6.04529,106.110774,37.3,0.31061
1,2025-03-03 05:13:00,-6.042891,106.108113,47.7,0.39712
1,2025-03-03 05:13:30,-6.04026,106.10554,49.2,0.40973
1,2025-03-03 05:14:00,-6.03779,106.103671,41.2,0.34368
1,2025-03-03 05:14:30,-6.035384,106.102019,38.9,0.32424
1,2025-03-03 05:15:00,-6.032586,106.100267,44.0,0.36653
1,2025-03-03 05:15:30,-6.030255,106.098807,36.6,0.30541
1,2025-03-03 05:16:00,-6.027647,106.097174,41.0,0.34156
1,2025-03-03 05:16:30,-6.025433,106.09541,37.8,0.31463
1,2025-03-03 05:17:00,-6.023414,106.093712,35.1,0.29266
1,2025-03-03 05:17:30,-6.022276,106.090738,48.0,0.39978
1,2025-03-03 05:18:00,-6.024204,106.087646,48.5,0.40436
1,2025-03-03 05:18:30,-6.025735,106.085761,34.9,0.29117
1,2025-03-03 05:19:00,-6.028816,106.085365,41.4,0.34536
1,2025-03-03 05:19:30,-6.031754,106.084733,40.6,0.33874
1,2025-03-03 05:20:00,-6.034152,106.082962,43.1,0.35953
1,2025-03-03 05:20:30,-6.032623,106.080289,41.0,0.34184
1,2025-03-03 05:21:00,-6.030743,106.077762,41.9,0.34897
1,2025-03-03 05:21:30,-6.028727,106.074724,48.5,0.40393
1,2025-03-03 05:22:00,-6.026853,106.071892,45.1,0.37608
1,2025-03-03 05:22:30,-6.02505,106.069166,43.4,0.36204
1,2025-03-03 05:23:00,-6.023674,106.066922,35.0,0.29202
1,2025-03-03 05:23:30,-6.022076,106.063753,47.1,0.39287
1,2025-03-03 05:24:00,-6.020827,106.061123,38.7,0.32248
1,2025-03-03 05:24:30,-6.019597,106.05827,41.3,0.34377
1,2025-03-03 05:25:00,-6.018211,106.055053,46.5,0.38777
1,2025-03-03 05:25:30,-6.016789,106.051754,47.7,0.39755
1,2025-03-03 05:26:00,-6.015214,106.048787,44.7,0.37254
1,2025-03-03 05:26:30,-6.01372,106.046473,36.6,0.30531
1,2025-03-03 05:27:00,-6.012079,106.044116,38.2,0.31817
1,2025-03-03 05:27:30,-6.010297,106.041972,37.1,0.30951
1,2025-03-03 05:28:00,-6.007588,106.040627,42.4,0.35353
1,2025-03-03 05:28:30,-6.004631,106.038631,47.6,0.39702
